formula,A,B,X,nA,nB,nX,chi_A,chi_B,chi_X,chi_diff,rX,rA,rB,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,chi_AX_ratio,chi_BX_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,t_sisso,t,tau,t_jess,bandgap,bandgap_sigma,norm_formula,HHI,SR
AlSnSe3,Sn,Al,Se,3.0,3.0,-2.0,1.96,1.61,2.55,0.8159999999999998,198.0,86.0,69.0,-0.5899999999999999,-0.9399999999999996,-1.48,-1.83,1.2463768115942029,0.3484848484848485,0.4343434343434343,0.3986486486486486,0.5136612021857923,-3.6934392700000016,-2.712046639999999,-6.510488250000024,-3.693439396789498,-2.7120467330999567,-0.2111875472497096,-1.0130803347838755,-0.3481498809512196,-2.730814399751447,6.875250052003975,5.763264318842405,10.84576444731508,106.59,110.43,79.97,135.54,139.64,95.78,46.940000000000005,999.99,23.97,0.8291316182916132,0.7521304558622968,10.847030684454468,0.5837228674486212,2.018960475921631,0.2920958697795868,AlSnSe3,1.1872012265676826,0.6701932800931429
CeCdS3,Cd,Ce,S,2.0,4.0,-2.0,1.69,1.12,2.58,0.9860000000000002,184.0,156.0,86.8,-0.8900000000000001,-1.46,-1.75,-2.32,1.7972350230414746,0.4717391304347826,0.8478260869565217,0.5085714285714287,0.6293103448275862,-5.657022910000005,-2.5303330600000007,-7.00838179000003,-1.1571185497219154,-2.5303331468620374,0.8145175879610062,0.9482623915387752,0.0869328039854952,-2.847077729734469,9.27193000127873,5.700526061695872,11.769320157021456,123.55,204.28,74.72999999999999,179.66,257.54,84.92999999999999,51.92,118.68,273.21,0.8246503882954872,0.8878024786129166,4.251114283564172,0.7174694942622115,2.1258251667022705,0.3905080258846283,CdCeS3,0.7919107249997773,0.4420233233626265
HfCuS3,Cu,Hf,S,2.0,4.0,-2.0,1.9,1.3,2.58,0.908,184.0,134.0,85.0,-0.6800000000000002,-1.28,-1.54,-2.14,1.576470588235294,0.4619565217391304,0.7282608695652174,0.4415584415584416,0.5981308411214954,-4.608164319999999,-2.693665829999998,-7.00838179000003,-0.6024405606807606,-2.693665922468976,0.8145175879610062,-1.5474569751238811,0.1845735353332302,-2.847077729734469,8.147436993683963,6.50368793830198,11.769320157021456,120.22,153.65,74.72999999999999,203.02,213.77,84.92999999999999,31.9,89.50999999999999,273.21,0.8107420988505747,0.8359127242976618,5.091376647175331,0.6170962846986392,1.8860056400299072,0.6132522225379944,CuHfS3,0.3830907758624842,0.1932272512058723
HfCuSe3,Cu,Hf,Se,2.0,4.0,-2.0,1.9,1.3,2.55,0.8900000000000001,198.0,134.0,85.0,-0.6499999999999999,-1.2499999999999998,-1.54,-2.14,1.576470588235294,0.4292929292929293,0.6767676767676768,0.422077922077922,0.5841121495327103,-4.608164319999999,-2.693665829999998,-6.510488250000024,-0.6024405606807606,-2.693665922468976,-0.2111875472497096,-1.5474569751238811,0.1845735353332302,-2.730814399751447,8.147436993683963,6.50368793830198,10.84576444731508,120.22,153.65,79.97,203.02,213.77,95.78,31.9,89.50999999999999,23.97,0.8219868190436883,0.8295407869588592,5.256082529528271,0.5994240180050769,1.7802560329437256,0.5957173109054565,CuHfSe3,0.5886837479665571,0.3065375156271868
ZrCuSe3,Cu,Zr,Se,2.0,4.0,-2.0,1.9,1.33,2.55,0.884,198.0,134.0,85.0,-0.6499999999999999,-1.2199999999999998,-1.54,-2.11,1.576470588235294,0.4292929292929293,0.6767676767676768,0.422077922077922,0.5781990521327013,-4.608164319999999,-3.6022224400000007,-6.510488250000024,-0.6024405606807606,-3.602222563658176,-0.2111875472497096,-1.5474569751238811,-0.2714066713124998,-2.730814399751447,8.147436993683963,7.139550537079975,10.84576444731508,120.22,166.94,79.97,203.02,222.0,95.78,31.9,84.44,23.97,0.8219868190436883,0.8295407869588592,5.256082529528271,0.605554177833764,1.6509623527526855,0.5883088707923889,CuZrSe3,0.5886837479665571,0.3065375156271868
TbZnS3,Zn,Tb,S,2.0,4.0,-2.0,1.65,1.1,2.58,0.998,184.0,121.0,76.26,-0.9300000000000002,-1.48,-1.79,-2.34,1.5866771570941516,0.4144565217391304,0.657608695652174,0.5195530726256984,0.6324786324786326,-5.977182470000003,-3.0839381900000022,-7.00838179000003,-1.1074028380152596,-1.3025399247139844,0.8145175879610062,0.922398193658712,0.4848213986217848,-2.847077729734469,9.889346728482574,6.119534423052706,11.769320157021456,110.68,29.39,74.72999999999999,166.61,257.89,84.92999999999999,29.97,112.45,273.21,0.8348683347092811,0.8286640725626776,5.28685738657474,0.6807106880231387,2.479283332824707,0.2954099774360657,TbZnS3,0.7593601154756247,0.427966176709568
LaScS3,La,Sc,S,3.0,3.0,-2.0,1.1,1.36,2.58,1.056,184.0,150.0,87.0,-1.48,-1.22,-2.34,-2.08,1.7241379310344829,0.4728260869565217,0.8152173913043478,0.6324786324786326,0.5865384615384615,-2.778124050000001,-3.2357286599999986,-7.00838179000003,-2.7781241453682792,-3.235728771077069,0.8145175879610062,-0.2216918666232401,0.2753302914535808,-2.847077729734469,5.8114999284947535,6.884657007341072,11.769320157021456,205.43,165.06,74.72999999999999,267.61,217.74,84.92999999999999,119.73,58.09,273.21,0.8181678859701509,0.8714917337052116,2.6103634041666908,0.9397506490956018,1.9694440364837649,0.5051323771476746,LaScS3,1.586280889414111,0.899135507047661
LaZrS3,La,Zr,S,3.0,3.0,-2.0,1.1,1.33,2.58,1.062,184.0,150.0,85.0,-1.48,-1.25,-2.34,-2.11,1.7647058823529411,0.4619565217391304,0.8152173913043478,0.6324786324786326,0.5924170616113744,-2.778124050000001,-3.6022224400000007,-7.00838179000003,-2.7781241453682792,-3.602222563658176,0.8145175879610062,-0.2216918666232401,-0.2714066713124998,-2.847077729734469,5.8114999284947535,7.139550537079975,11.769320157021456,205.43,166.94,74.72999999999999,267.61,222.0,84.92999999999999,119.73,84.44,273.21,0.8414247481344181,0.8779712261491165,2.4855974858803984,0.9373430923140038,1.8833860158920288,0.4618671834468841,LaZrS3,0.7779607814905077,0.4183793945751909
LaTbS3,La,Tb,S,3.0,3.0,-2.0,1.1,1.1,2.58,1.1080000000000003,184.0,150.0,92.41,-1.48,-1.48,-2.34,-2.34,1.623200952277892,0.5022282608695652,0.8152173913043478,0.6324786324786326,0.6324786324786326,-2.778124050000001,-3.0839381900000022,-7.00838179000003,-2.7781241453682792,-1.3025399247139844,0.8145175879610062,-0.2216918666232401,0.4848213986217848,-2.847077729734469,5.8114999284947535,6.119534423052706,11.769320157021456,205.43,29.39,74.72999999999999,267.61,257.89,84.92999999999999,119.73,112.45,273.21,0.7934971360713021,0.8544345712315488,3.043979287972784,0.8544345712315488,2.060152769088745,0.2254894971847534,LaTbS3,1.075820153965853,0.6093322094844918
LaTbSe3,La,Tb,Se,3.0,3.0,-2.0,1.1,1.1,2.55,1.09,198.0,150.0,92.41,-1.4499999999999995,-1.4499999999999995,-2.34,-2.34,1.623200952277892,0.4667171717171717,0.7575757575757576,0.6196581196581196,0.6196581196581196,-2.778124050000001,-3.0839381900000022,-6.510488250000024,-2.7781241453682792,-1.3025399247139844,-0.2111875472497096,-0.2216918666232401,0.4848213986217848,-2.730814399751447,5.8114999284947535,6.119534423052706,10.84576444731508,205.43,29.39,79.97,267.61,257.89,95.78,119.73,112.45,23.97,0.8071871958429104,0.8473323222595589,3.19547804351872,0.847332322259559,1.5198605060577393,0.213884487748146,LaTbSe3,1.2814131260699255,0.7226424739058063
PrScS3,Pr,Sc,S,3.0,3.0,-2.0,1.13,1.36,2.58,1.05,184.0,156.0,87.0,-1.4500000000000002,-1.22,-2.31,-2.08,1.793103448275862,0.4728260869565217,0.8478260869565217,0.6277056277056278,0.5865384615384615,-2.320982129999998,-3.2357286599999986,-7.00838179000003,-2.320982209675374,-3.235728771077069,0.8145175879610062,0.1152585549847216,0.2753302914535808,-2.847077729734469,5.700078313684422,6.884657007341072,11.769320157021456,201.97,165.06,74.72999999999999,271.35,217.74,84.92999999999999,117.98,58.09,273.21,0.8223488913072079,0.8871472738316525,2.3269123806531264,0.9494131636776184,1.893248200416565,0.5108186602592468,PrScS3,1.586280889414111,0.899135507047661
PrUSe3,Pr,U,Se,3.0,3.0,-2.0,1.13,1.38,2.55,1.028,198.0,156.0,99.0,-1.42,-1.17,-2.31,-2.06,1.5757575757575757,0.5,0.7878787878787878,0.6147186147186147,0.5679611650485437,-2.320982129999998,-1.99527278,-6.510488250000024,-2.320982209675374,-1.9952728484943232,-0.2111875472497096,0.1152585549847216,0.546861732757815,-2.730814399751447,5.700078313684422,5.590257855882314,10.84576444731508,201.97,187.98,79.97,271.35,241.76,95.78,117.98,131.23,23.97,0.8440645218510212,0.8428162662682288,3.395638555035285,0.9122011847736794,1.3326258659362793,0.1632504016160965,PrUSe3,0.7939632424720449,0.44565922653818
CeScS3,Ce,Sc,S,3.0,3.0,-2.0,1.12,1.36,2.58,1.052,184.0,160.20000000000002,87.0,-1.46,-1.22,-2.32,-2.08,1.841379310344828,0.4728260869565217,0.8706521739130436,0.6293103448275862,0.5865384615384615,-2.5303330600000007,-3.2357286599999986,-7.00838179000003,-2.5303331468620374,-3.235728771077069,0.8145175879610062,0.0869328039854952,0.2753302914535808,-2.847077729734469,5.700526061695872,6.884657007341072,11.769320157021456,204.28,165.06,74.72999999999999,257.54,217.74,84.92999999999999,118.68,58.09,273.21,0.8211820881975593,0.8981061519201613,2.163268436006976,0.9635983472834744,1.7707581520080566,0.4420132935047149,CeScS3,1.586280889414111,0.899135507047661
CeUS3,Ce,U,S,3.0,3.0,-2.0,1.12,1.38,2.58,1.048,184.0,160.20000000000002,99.0,-1.46,-1.2000000000000002,-2.32,-2.06,1.6181818181818184,0.5380434782608695,0.8706521739130436,0.6293103448275862,0.5825242718446603,-2.5303330600000007,-1.99527278,-7.00838179000003,-2.5303331468620374,-1.9952728484943232,0.8145175879610062,0.0869328039854952,0.546861732757815,-2.847077729734469,5.700526061695872,5.590257855882314,11.769320157021456,204.28,187.98,74.72999999999999,257.54,241.76,84.92999999999999,118.68,131.23,273.21,0.8054509442399542,0.8600239122627693,2.9448383723561964,0.9290976718827242,1.745968461036682,0.3162144124507904,CeUS3,0.5883702703679718,0.3323489621168656
CeUSe3,Ce,U,Se,3.0,3.0,-2.0,1.12,1.38,2.55,1.03,198.0,160.20000000000002,99.0,-1.4299999999999995,-1.17,-2.32,-2.06,1.6181818181818184,0.5,0.8090909090909092,0.6163793103448275,0.5679611650485437,-2.5303330600000007,-1.99527278,-6.510488250000024,-2.5303331468620374,-1.9952728484943232,-0.2111875472497096,0.0869328039854952,0.546861732757815,-2.730814399751447,5.700526061695872,5.590257855882314,10.84576444731508,204.28,187.98,79.97,257.54,241.76,95.78,118.68,131.23,23.97,0.7981340807144556,0.8528157812917503,3.086252513770338,0.9255175097735184,1.3216874599456787,0.1645327061414718,CeUSe3,0.7939632424720449,0.44565922653818
YbSmS3,Sm,Yb,S,3.0,3.0,-2.0,1.17,1.1,2.58,1.094,184.0,164.0,102.0,-1.41,-1.48,-2.27,-2.34,1.607843137254902,0.5543478260869565,0.8913043478260869,0.6211453744493393,0.6324786324786326,-2.519165209999997,-3.076992080000003,-7.00838179000003,-2.5191652964786626,-1.0944533775707237,0.8145175879610062,0.530550865217543,0.4767999173605045,-2.847077729734469,5.94376524505028,6.531525574217345,11.769320157021456,194.74,173.83,74.72999999999999,267.86,248.9,84.92999999999999,115.12,112.51,273.21,0.8170333189687436,0.8603978311447499,2.9609952038198246,0.844980534610962,1.8959070444107056,0.3335318863391876,SmYbS3,1.075820153965853,0.6093322094844918
GdScS3,Gd,Sc,S,3.0,3.0,-2.0,1.2,1.36,2.58,1.036,184.0,152.0,87.0,-1.38,-1.22,-2.24,-2.08,1.7471264367816093,0.4728260869565217,0.8260869565217391,0.6160714285714286,0.5865384615384615,-2.8746634,-3.2357286599999986,-7.00838179000003,-1.3761398572405408,-3.235728771077069,0.8145175879610062,1.325343534503421,0.2753302914535808,-2.847077729734469,6.0569064659121885,6.884657007341072,11.769320157021456,30.32,165.06,74.72999999999999,202.1,217.74,84.92999999999999,111.28,58.09,273.21,0.8203213789320559,0.8767102470806919,2.5085600083043427,0.9208537372732796,1.8258785009384155,0.347350925207138,GdScS3,1.586280889414111,0.899135507047661
