formula,A,B,X,nA,nB,nX,chi_A,chi_B,chi_X,chi_diff,rX,rA,rB,delta_chi_AX,delta_chi_BX,delta_chi_AO,delta_chi_BO,rA_rB_ratio,rB_rX_ratio,rA_rX_ratio,chi_AX_ratio,chi_BX_ratio,HOMO_A,HOMO_B,HOMO_X,LUMO_A,LUMO_B,LUMO_X,EA_A,EA_B,EA_X,IP_A,IP_B,IP_X,rS_A,rS_B,rS_X,rP_A,rP_B,rP_X,rD_A,rD_B,rD_X,t_sisso,t,tau,t_jess,bandgap,bandgap_sigma
EuLuS3,Eu,Lu,S,3.0,3.0,-2.0,1.2,1.27,2.58,1.054,184.0,164.0,99.0,-1.38,-1.31,-2.24,-2.17,1.6565656565656566,0.5380434782608695,0.8913043478260869,0.6160714285714286,0.6036866359447005,-2.76744646,-1.7533157500000005,-7.00838179000003,-2.76744655500174,-1.7533158101883548,0.8145175879610062,0.4802925635161391,0.3090144625889975,-2.847077729734469,6.002313428086848,5.26002856955933,11.769320157021456,31.35,162.29,74.72999999999999,267.74,232.06,84.92999999999999,114.02,97.53,273.21,0.7545716601668887,0.8695186562098887,2.7045109016934537,0.8873570637561793,1.6948676109313965,0.3690415620803833
EuLuSe3,Eu,Lu,Se,3.0,3.0,-2.0,1.2,1.27,2.55,1.036,198.0,164.0,99.0,-1.35,-1.2799999999999998,-2.24,-2.17,1.6565656565656566,0.5,0.8282828282828283,0.6026785714285713,0.5898617511520736,-2.76744646,-1.7533157500000005,-6.510488250000024,-2.76744655500174,-1.7533158101883548,-0.2111875472497096,0.4802925635161391,0.3090144625889975,-2.730814399751447,6.002313428086848,5.26002856955933,10.84576444731508,31.35,162.29,79.97,267.74,232.06,95.78,114.02,97.53,23.97,0.7647839476137247,0.8618629615511266,2.845925043107595,0.8805899643777991,1.4468361139297485,0.15918046236038208
EuScS3,Eu,Sc,S,3.0,3.0,-2.0,1.2,1.36,2.58,1.036,184.0,164.0,87.0,-1.38,-1.22,-2.24,-2.08,1.885057471264368,0.4728260869565217,0.8913043478260869,0.6160714285714286,0.5865384615384615,-2.76744646,-3.2357286599999986,-7.00838179000003,-2.76744655500174,-3.235728771077069,0.8145175879610062,0.4802925635161391,0.2753302914535808,-2.847077729734469,6.002313428086848,6.884657007341072,11.769320157021456,31.35,165.06,74.72999999999999,267.74,217.74,84.92999999999999,114.02,58.09,273.21,0.8171895905043726,0.9080213273335738,2.035359426812868,0.9537413707473252,1.8435906171798706,0.7460940480232239
EuTlS3,Eu,Tl,S,3.0,3.0,-2.0,1.2,1.62,2.58,0.984,184.0,164.0,88.45,-1.38,-0.96,-2.24,-1.82,1.8541548897682305,0.4807065217391305,0.8913043478260869,0.6160714285714286,0.5274725274725275,-2.76744646,-2.36925177,-7.00838179000003,-2.76744655500174,-2.3692518513323906,0.8145175879610062,0.4802925635161391,-0.1395649868243635,-2.847077729734469,6.002313428086848,5.166986943295928,11.769320157021456,31.35,109.74,74.72999999999999,267.74,154.46,84.92999999999999,114.02,59.04,273.21,0.8006602885531621,0.9031887675074268,2.089347046053635,1.0548962557996904,1.4655102491378784,0.26889875531196594
EuHfS3,Eu,Hf,S,2.0,4.0,-2.0,1.2,1.3,2.58,1.048,184.0,164.0,85.0,-1.38,-1.28,-2.24,-2.14,1.9294117647058824,0.4619565217391304,0.8913043478260869,0.6160714285714286,0.5981308411214954,-2.76744646,-2.693665829999998,-7.00838179000003,-2.76744655500174,-2.693665922468976,0.8145175879610062,0.4802925635161391,0.1845735353332302,-2.847077729734469,6.002313428086848,6.50368793830198,11.769320157021456,31.35,153.65,74.72999999999999,267.74,213.77,84.92999999999999,114.02,89.50999999999999,273.21,0.8404464526686398,0.9147724152691392,4.036182527634741,0.942210482970432,1.4735745191574097,0.23714816570281982
EuZrS3,Eu,Zr,S,2.0,4.0,-2.0,1.2,1.33,2.58,1.042,184.0,164.0,85.0,-1.38,-1.25,-2.24,-2.11,1.9294117647058824,0.4619565217391304,0.8913043478260869,0.6160714285714286,0.5924170616113744,-2.76744646,-3.6022224400000007,-7.00838179000003,-2.76744655500174,-3.602222563658176,0.8145175879610062,0.4802925635161391,-0.2714066713124998,-2.847077729734469,6.002313428086848,7.139550537079975,11.769320157021456,31.35,166.94,74.72999999999999,267.74,222.0,84.92999999999999,114.02,84.44,273.21,0.8404464526686398,0.9147724152691392,4.036182527634741,0.9512979709931,1.5775978565216064,0.18250297009944916
TbEuS3,Eu,Tb,S,3.0,3.0,-2.0,1.2,1.1,2.58,1.088,184.0,164.0,92.41,-1.38,-1.48,-2.24,-2.34,1.774699707823829,0.5022282608695652,0.8913043478260869,0.6160714285714286,0.6324786324786326,-2.76744646,-3.0839381900000022,-7.00838179000003,-2.76744655500174,-1.3025399247139844,0.8145175879610062,0.4802925635161391,0.4848213986217848,-2.847077729734469,6.002313428086848,6.119534423052706,11.769320157021456,31.35,29.39,74.72999999999999,267.74,257.89,84.92999999999999,114.02,112.45,273.21,0.7568625112590074,0.8902491939777812,2.272523408973321,0.8671551330818809,1.878277063369751,0.35343965888023376
TbEuSe3,Eu,Tb,Se,3.0,3.0,-2.0,1.2,1.1,2.55,1.07,198.0,164.0,92.41,-1.35,-1.4499999999999995,-2.24,-2.34,1.774699707823829,0.4667171717171717,0.8282828282828283,0.6026785714285713,0.6196581196581196,-2.76744646,-3.0839381900000022,-6.510488250000024,-2.76744655500174,-1.3025399247139844,-0.2111875472497096,0.4802925635161391,0.4848213986217848,-2.730814399751447,6.002313428086848,6.119534423052706,10.84576444731508,31.35,29.39,79.97,267.74,257.89,95.78,114.02,112.45,23.97,0.8336685998483656,0.8814204041895412,2.4240221645192577,0.8572681825230174,1.559732437133789,0.10270565748214722
EuUS3,Eu,U,S,2.0,4.0,-2.0,1.2,1.38,2.58,1.032,184.0,164.0,99.0,-1.38,-1.2000000000000002,-2.24,-2.06,1.6565656565656566,0.5380434782608695,0.8913043478260869,0.6160714285714286,0.5825242718446603,-2.76744646,-1.99527278,-7.00838179000003,-2.76744655500174,-1.9952728484943232,0.8145175879610062,0.4802925635161391,0.546861732757815,-2.847077729734469,6.002313428086848,5.590257855882314,11.769320157021456,31.35,187.98,74.72999999999999,267.74,241.76,84.92999999999999,114.02,131.23,273.21,0.7545716601668887,0.8695186562098887,4.422535887324255,0.9195936145362616,1.4473552703857422,0.15586578845977783
EuUSe3,Eu,U,Se,2.0,4.0,-2.0,1.2,1.38,2.55,1.014,198.0,164.0,99.0,-1.35,-1.17,-2.24,-2.06,1.6565656565656566,0.5,0.8282828282828283,0.6026785714285713,0.5679611650485437,-2.76744646,-1.99527278,-6.510488250000024,-2.76744655500174,-1.9952728484943232,-0.2111875472497096,0.4802925635161391,0.546861732757815,-2.730814399751447,6.002313428086848,5.590257855882314,10.84576444731508,31.35,187.98,79.97,267.74,241.76,95.78,114.02,131.23,23.97,0.7647839476137247,0.8618629615511266,4.563950028738397,0.9145455189536336,1.2947053909301758,0.09478838741779327
