Formula,tau_star,Bandgap_eV,BG_Deviation,HHI,Supply_Risk,CLS,bg_score,sr_score,cls_score,Composite_Score,Rank
GdTbSe3,0.8129089684823942,1.4423381090164185,0.10233810901641838,,,,0.07202190452263946,1.0,1.0,0.6906739681742131,58
DyTlSe3,0.8338765697589703,1.443439483642578,0.10343948364257782,,,,0.07285863873966202,1.0,1.0,0.6909528795798874,59
BiYbSe3,0.8268439879504299,1.2354086637496948,0.10459133625030526,,,,0.07373372199195465,1.0,1.0,0.6912445739973183,60
EuInSe3,0.8381152206992745,1.2257235050201416,0.11427649497985848,,,,0.08109171219241042,1.0,1.0,0.6936972373974702,61
CeYSe3,0.8383367676231454,1.4551477432250977,0.11514774322509758,,,,0.08175361523702156,1.0,1.0,0.6939178717456738,62
DyTbSe3,0.8225160468579085,1.4609991312026978,0.12099913120269767,,,,0.08619902048029034,1.0,1.0,0.69539967349343,63
PrInSe3,0.8268681091664651,1.2180936336517334,0.12190636634826668,,,,0.08688826342374736,1.0,1.0,0.6956294211412491,64
SnGeSe3,0.6860881386921981,1.464081048965454,0.12408104896545402,,,,0.08854040912762103,1.0,1.0,0.6961801363758736,65
PrTbSe3,0.8224214883155563,1.4658288955688477,0.12582889556884758,,,,0.08986827979435846,1.0,1.0,0.6966227599314528,66
SmCeSe3,0.7960934950446091,1.468179702758789,0.12817970275878898,,,,0.09165423052059377,1.0,1.0,0.697218076840198,67
CuCeSe3,0.8093327740661633,1.468496322631836,0.12849632263183586,,,,0.09189477236282911,1.0,1.0,0.6972982574542764,68
BiCeSe3,0.8074906973078197,1.210379719734192,0.12962028026580819,,,,0.09274866329920176,1.0,1.0,0.6975828877664005,69
SnRhSe3,0.7104074443468984,1.2101662158966064,0.12983378410339363,,,,0.09291086602489584,1.0,1.0,0.6976369553416321,70
CeInSe3,0.8340717227993432,1.1943409442901611,0.14565905570983895,,,,0.10493361099493588,1.0,1.0,0.701644536998312,71
BiYSe3,0.8068906814064081,1.4913699626922607,0.15136996269226066,,,,0.10927229028618501,1.0,1.0,0.7030907634287283,72
SmYbSe3,0.8154467856872191,1.493996500968933,0.15399650096893303,,,,0.11126771890439711,1.0,1.0,0.7037559063014657,73
EuYSe3,0.7954934791431975,1.5062470436096191,0.16624704360961906,,,,0.12057467764585611,1.0,1.0,0.7068582258819521,74
BiInSe3,0.8372799689276131,1.1612308025360107,0.17876919746398934,,,,0.13008798433724847,1.0,1.0,0.7100293281124163,75
SmLuSe3,0.7647839476137247,1.5280234813690186,0.18802348136901847,,,,0.13711863114303202,1.0,1.0,0.7123728770476774,76
CeInS3,0.7653016298031028,1.5300700664520264,0.1900700664520263,,,,0.13867345883410745,1.0,1.0,0.7128911529447025,77
CuScSe3,0.8136544730746447,1.538727641105652,0.198727641105652,,,,0.1452507748327303,1.0,1.0,0.7150835916109101,78
BiScS3,0.8185123184984431,1.540691614151001,0.2006916141510009,,,,0.14674284066511992,1.0,1.0,0.7155809468883733,79
EuInS3,0.761309132109916,1.5721851587295532,0.23218515872955314,,,,0.17066905590406148,1.0,1.0,0.7235563519680205,80
NdZrSe3,0.8287746501428266,1.5772135257720947,0.23721352577209465,,,,0.1744891972622426,1.0,1.0,0.7248297324207474,81
