File Name,Compound,Initial Energy (eV),Relaxed Energy (eV),Initial Energy/Atom (eV/atom),Relaxed Energy/Atom (eV/atom),Energy Reduction/Atom (eV/atom),Abs Energy Reduction
EuZrS3_1.cif,EuZrS3,-160.91592310433802,-161.104844548636,-8.045796155216902,-8.055242227431801,0.00944607221489946,0.00944607221489946
LaScS3_1.cif,LaScS3,-135.70990809387348,-135.7810390977769,-6.785495404693674,-6.789051954888845,0.003556550195170871,0.003556550195170871
CeScS3_1.cif,CeScS3,-137.801518843033,-137.86332043931063,-6.8900759421516495,-6.8931660219655315,0.003090079813881985,0.003090079813881985
CaUSe3_1.cif,CaUSe3,-121.30609285093334,-122.95635589835445,-6.065304642546667,-6.147817794917723,0.08251315237105583,0.08251315237105583
LaTbSe3_1.cif,LaTbSe3,-116.80952371251179,-118.786849476369,-5.840476185625589,-5.93934247381845,0.09886628819286081,0.09886628819286081
TbZnS3_1.cif,TbZnS3,-93.5406175402585,-94.15937765723528,-4.677030877012925,-4.707968882861764,0.030938005848839545,0.030938005848839545
SrUS3_1.cif,SrUS3,-132.87226383500195,-134.47437740276013,-6.643613191750097,-6.723718870138006,0.08010567838790905,0.08010567838790905
TbScS3_1.cif,ScTbS3,-132.6371055842168,-132.7207517349237,-6.631855279210841,-6.636037586746186,0.004182307535344876,0.004182307535344876
EuUSe3_1.cif,EuUSe3,-156.43413749267734,-157.3479601806704,-7.8217068746338665,-7.86739800903352,0.04569113439965378,0.04569113439965378
BaZrS3_1.cif,BaZrS3,-127.7165704655043,-127.79120612645775,-6.385828523275215,-6.389560306322887,0.003731783047672188,0.003731783047672188
BaUSe3_1.cif,BaUSe3,-123.60083282049749,-125.09115927484768,-6.180041641024874,-6.254557963742384,0.07451632271750963,0.07451632271750963
SrCeS3_1.cif,CeSrS3,-114.86227800647946,-117.84675521000712,-5.743113900323973,-5.8923377605003555,0.14922386017638267,0.14922386017638267
